,# Incidents,Day Of The Week,Month
0,17.0,Mon,March
1,36.0,Sat,May
2,16.0,Sat,August
3,16.0,Thu,August
4,38.0,Sat,July
5,3.0,Thu,January
6,4.0,Mon,November
7,4.0,Sun,September
8,19.0,Thu,April
9,8.0,Fri,March
10,10.0,Sun,October
11,3.0,Wed,January
12,4.0,Sat,February
13,4.0,Wed,September
14,5.0,Sat,December
15,2.0,Thu,December
16,33.0,Sun,July
17,24.0,Sun,June
18,13.0,Sat,September
19,38.0,Sat,June
20,5.0,Thu,February
21,24.0,Tue,June
22,29.0,Thu,June
23,19.0,Thu,July
24,9.0,Tue,March
25,11.0,Tue,August
26,5.0,Sun,November
27,24.0,Tue,May
28,4.0,Sun,February
29,3.0,Mon,December
30,4.0,Wed,February
31,10.0,Sat,October
32,29.0,Tue,July
33,4.0,Sat,January
34,28.0,Sun,May
35,30.0,Wed,May
36,19.0,Sat,April
37,4.0,Fri,December
38,1.0,Tue,November
39,14.0,Thu,May
40,6.0,Sat,November
41,17.0,Fri,August
42,4.0,Tue,January
43,4.0,Tue,February
44,28.0,Sun,April
45,21.0,Mon,June
46,7.0,Fri,January
47,5.0,Fri,November
48,6.0,Thu,September
49,5.0,Mon,January
50,12.0,Fri,April
51,15.0,Thu,March
52,38.0,Wed,July
53,13.0,Mon,August
54,16.0,Wed,April
55,3.0,Wed,October
56,16.0,Wed,August
57,17.0,Sun,March
58,11.0,Tue,April
59,1.0,Mon,February
60,2.0,Fri,February
61,2.0,Wed,November
62,23.0,Fri,June
63,12.0,Wed,March
64,21.0,Fri,July
65,4.0,Sun,January
66,5.0,Fri,October
67,4.0,Fri,September
68,7.0,Mon,October
69,3.0,Tue,September
70,5.0,Tue,December
71,19.0,Mon,July
72,7.0,Sun,December
73,6.0,Tue,October
74,11.0,Mon,May
75,14.0,Mon,April
76,24.0,Wed,June
77,8.0,Thu,November
78,1.0,Mon,September
79,32.0,Sat,March
80,6.0,Wed,December
81,5.0,Thu,October
82,13.0,Sun,August
83,25.0,Fri,May
